game_id,Platform,g_company,game_n,genre,rating,release_date,price
377290,windows,Bit Juggler,Biodrone Battle,Action,5.11627907,2015-07-16,1.69
542870,windows,Class of 2015-2016,Biomydra,Action,6.666666667,2017-03-09,0.0
632380,windows,The Selenite Forge,Bionic Attack,Indie,5,2017-05-19,10.99
625820,windows,Monkeynetics,Bionic Battle Mutants,Indie,8.846153846,2017-10-24,7.19
21670,windows,Capcom,Bionic Commando,Action,7.243303571,2009-07-28,6.49
21680,windows,Capcom,Bionic Commando: Rearmed,Action,6.121621622,2009-07-28,6.49
314200,windows,Winter Wolves,Bionic Heart,Adventure,7.476635514,2014-08-13,6.99
317290,windows,Winter Wolves,Bionic Heart 2,Adventure,5.833333333,2014-09-22,10.99
414770,windows,Platoon Studios,Bionite: Origins,Action,3.333333333,2015-12-24,8.99
350600,windows,PIXYUL,BIOS,Action,6.612903226,2016-12-13,10.99
8870,windows,Irrational Games,BioShock Infinite,Action,9.538228796,2013-03-25,19.99
409720,windows,2K Marin,BioShock™ 2 Remastered,Action,4.989293362,2016-09-15,13.99
409710,windows,2K Boston,BioShock™ Remastered,Action,6.281855805,2016-09-15,9.99
579870,windows,DarkPolygon Games,Biosupremacy,Action,4,2017-03-09,3.99
799060,windows,Ten Percent Red,Biotix: Phage Genesis,Action,8,2018-04-16,0.0
601870,windows,Fivesyounger Development,Biotoxin: The Dark Days,Violent,5.789473684,2017-03-02,1.99
19080,windows,G5 Entertainment,Biozone,Action,0.7142857143,2010-06-25,7.99
463450,windows,Jason Free,Bipolar Game,Casual,10,2016-04-19,7.19
312010,windows,Social Loner Studios,Bird Assassin,Action,8.865030675,2014-08-27,1.59
891670,windows,Sly,Bird couple,Casual,10,2018-07-13,0.78
791700,windows,Bryan Tabor,Bird Game,Action,8.888888889,2018-02-22,2.09
983200,windows,milanaozdieva,Bird Memory,Casual,10,2018-11-28,0.79
772990,windows,First Game Studio,Bird Watcher,Indie,7.045454545,2018-02-19,1.69
699230,windows,Green Lava Studios,Birdcakes,Action,10,2018-05-29,3.99
470470,windows,Waynetron,Birdsketball,Action,9.756097561,2016-11-17,1.59
513240,windows,Artificient Games Inc.,Birdtual Reality,Indie,5,2016-08-23,4.79
1027480,windows,Alex  Tritt,Birth of a Hunter,Action,6.25,2019-03-04,0.0
525700,windows,Arc System Works,Birthdays the Beginning / バースデイズ・ザ・ビギニング,Simulation,5.341614907,2017-05-09,34.99
571680,windows,Onefurinthebox,Birthseederia,Adventure,8,2017-08-16,6.99
834930,windows,Because Because Games,Bishi and the Alien Slime Invasion!,Action,10,2018-04-23,2.09
433950,windows,Nickervision Studios,Bit Blaster XL,Action,9.729780097,2016-01-22,0.79
726260,windows,GrowFall Studios,Bit Bullet,Action,9.444444444,2017-11-06,2.89
331440,windows,Kinto Games LLC,bit Dungeon II,Action,8.221079692,2014-12-15,2.79
342020,windows,Major Games,BiT Evolution,Action,5.821917808,2015-06-09,6.99
666860,windows,Juppiomenz,Bit Heroes,Adventure,7.567567568,2017-12-13,0.0
328740,windows,Gamesare,Bit Odyssey,Action,5.263157895,2015-01-20,3.99
393170,windows,Plastic Games,Bit Shifter,Action,9.615384615,2015-11-02,10.99
711300,windows,uVR,Bit Storm VR: First Loop,Action,10,2017-10-18,9.29
796480,windows,Coconut Tree Studio,Bit-Boom,Adventure,6.341463415,2018-02-13,0.79
63700,windows,Gaijin Games,BIT.TRIP BEAT,Action,8.148148148,2010-11-02,6.99
205060,windows,Gaijin Games,BIT.TRIP CORE,Action,5.785123967,2012-10-02,6.99
205080,windows,Gaijin Games,BIT.TRIP FATE,Action,6.23853211,2013-07-11,6.99
952950,windows,JPEG OF PAIN GAMES,03.04,Action,7.906976744,2019-01-01,1.69
684210,windows,Zac,7,Adventure,7.962962963,2018-01-26,0.0
938520,windows,Softwaves Mini,21,Adventure,2.5,2018-09-28,0.79
578850,windows,rebel rabbit,64.0,Action,9.073660714,2017-03-16,1.99
913850,windows,Dystopia Interactive,103,Adventure,8.367346939,2018-12-21,7.19
242820,windows,Carlsen Games,140,Action,9.337730146,2013-10-16,3.99
1028160,windows,David Mulder,222,Action,5,2019-02-22,1.69
696860,windows,Barnaque,900,Action,6.666666667,2018-11-30,1.59
876840,windows,Tydecon Games,999,Casual,10,2018-06-29,6.99
761190,windows,WalkBoy Studio,1010,Indie,4,2017-12-13,0.79
581810,windows,Predator Productions,1166,Nudity,6.25,2017-04-02,1.59
814510,windows,taecg,1248,Casual,10,2019-03-06,2.09
1043350,windows,indie_games_studio,1406,Adventure,5.769230769,2019-03-21,4.79
290970,windows,SomaSim,1849,Indie,7.03180212,2014-05-08,10.99
942050,windows,Lucas Alexander Visual Arts,2048,Casual,10,2018-10-31,4.49
1026330,windows,Dexion Games,2048,Casual,0,2019-02-21,0.79
987850,windows,Feardemic,2084,Action,7.090909091,2018-12-13,7.19
1018090,windows,Interactive Gaming Studios,2100,Action,5,2019-02-21,2.89
1063230,windows,indie_games_studio,6120,Adventure,5.454545455,2019-04-19,3.99
449940,windows,WTFOMGames,! That Bastard Is Trying To Steal Our Gold !,Action,2.698412698,2016-03-03,2.89
866510,windows,GQG DEVELOPER,!AnyWay!,Adventure,6.764705882,2018-06-06,1.69
870990,windows,UPandQ,!LABrpgUP!,Adventure,5.789473684,2018-06-13,0.79
439260,windows,Tyler Hurd,BUTTS: The VR Experience,Casual,7.75862069,2016-02-03,0.79
